Go on.,Poursuis.
Are all of these people your friends?,Tous ces gens sont-ils vos amis ?
Are all of these people your friends?,Tous ces gens sont-ils tes amis ?
Are there enough chairs for everyone?,Y a-t-il assez de chaises pour tout le monde ?
Are there enough chairs to go around?,Y a-t-il suffisamment de chaises pour tout le monde ?
Are there many flowers in the garden?,Y a-t-il beaucoup de fleurs dans le jardin ?
Are we allowed to take pictures here?,Est-il permis de prendre des photos ici ?
Are we allowed to take pictures here?,Sommes-nous autorisés à prendre des photos ici ?
Are you brushing your teeth properly?,Te brosses-tu bien les dents ?
Are you brushing your teeth properly?,Te brosses-tu correctement les dents ?
Are you certain that's what you want?,Es-tu certain que c'est ce que tu veux ?
Are you certain that's what you want?,Êtes-vous certaine que c'est ce que vous voulez ?
Are you going to have dinner at home?,Prenez-vous votre dîner à la maison ?
Are you going to sell Tom your house?,Tu vas vendre ta maison à Tom ?
Are you going to stay in bed all day?,As-tu l'intention de rester au lit toute la journée ?
Are you going to stay in bed all day?,Est-ce que vous allez rester au lit toute la journée ?
Are you going to the concert tonight?,Vas-tu au concert ce soir ?
Are you going to the concert tonight?,Allez-vous au concert ce soir ?
Are you going to the theater tonight?,Allez-vous au théâtre ce soir ?
Are you going to the theater tonight?,Vas-tu au théâtre ce soir ?
Are you having any trouble breathing?,Avez-vous des difficultés à respirer ?
Are you having any trouble breathing?,Est-ce que tu as des difficultés à respirer ?
Are you interested in Japanese music?,Est-ce que tu t'intéresses à la musique japonaise ?
Are you really trying to lose weight?,Est-ce que tu essayes vraiment de perdre du poids ?
Are you still buying lottery tickets?,Achètes-tu toujours des tickets de loterie ?
Are you still in love with your wife?,Aimez-vous toujours votre femme ?
Are you still in love with your wife?,Aimes-tu encore ta femme ?
Are you still in love with your wife?,Aimez-vous encore votre femme ?
Are you sure everyone's already left?,Es-tu sûr que tout le monde est déjà parti ?
Are you sure this is the right train?,Es-tu sûr que c'est le bon train ?
Are you sure this is the right train?,Êtes-vous sûr que c'est le bon train ?
Are you sure you don't want anything?,Es-tu sûr de ne rien vouloir ?
Are you sure you don't want anything?,Êtes-vous sûr que vous ne voulez rien ?
Are you sure you don't want anything?,Es-tu sûre que tu ne veux rien ?
Are you sure you don't want anything?,Êtes-vous sûres de ne rien vouloir ?
Are you sure you don't want to drive?,Tu es sûr que tu ne veux pas conduire ?
Are you sure you don't want to drive?,Vous êtes sûre de ne pas vouloir conduire ?
Are you the girl Tom has been dating?,Es-tu la fille que Tom a fréquentée ?
Are you the one who caused this mess?,Êtes-vous celle qui a causé cette pagaille ?
Are you the one who caused this mess?,Est-ce que tu es celui qui a causé ce bordel ?
Are you thinking about getting a job?,Penses-tu à obtenir un emploi ?
"Art is not a luxury, but a necessity.","L'art n'est pas un luxe, mais une nécessité."
"As far as I know, she is a kind girl.",D'après ce que je sais c'est une gentille fille.
"As soon as I got home, I went to bed.","Dès que je fus à la maison, j'allai au lit."
"As the proverb says, ""Time is money.""","Comme dit le proverbe, le temps, c'est de l'argent."
"As the sun rose, the fog disappeared.","En se levant, le soleil a dissipé le brouillard."
Ask at the police station over there.,Demandez au poste de police là-bas.
"At first, I couldn't play the guitar.","Au début, je n'arrivais pas à jouer de la guitare."
"At last, I caught up with my friends.","Enfin, je rattrapai mes amis."
"At last, I caught up with my friends.","Enfin, j'ai rattrapé mes amis."
"At last, I caught up with my friends.","Enfin, je rattrapai mes amies."
"At last, I caught up with my friends.","Enfin, j'ai rattrapé mes amies."
At least thirty students were absent.,Au moins trente étudiants étaient absents.
At times I feel like quitting my job.,"À certains moments, j'ai envie de plaquer ce boulot."
At times I feel like quitting my job.,"Parfois, j'ai envie de quitter ce travail."
Be careful or you'll strip the gears.,Fais gaffe ou tu vas abîmer la boîte de vitesse !
Be careful or you'll strip the gears.,Faites gaffe ou vous allez abîmer la boîte de vitesse !
Be careful when you cross the street.,Fais attention quand tu traverses la rue.
Be on your guard against pickpockets.,Sois sur tes gardes quant aux pickpockets.
Be on your guard against pickpockets.,Soyez attentif aux pickpockets.
Be on your guard against pickpockets.,Soyez attentif aux voleurs à la tire.
Be on your guard against pickpockets.,Soyez attentifs aux voleurs à la tire.
Be on your guard against pickpockets.,Soyez attentive aux voleurs à la tire.
Be on your guard against pickpockets.,Soyez attentives aux voleurs à la tire.
Being handsome also has its downside.,Être beau a aussi son revers.
"Being very tired, I soon fell asleep.","Étant très fatigué, je m'endormis bientôt."
"Being very tired, I soon fell asleep.","Étant très fatigué, je me suis bientôt endormi."
"Being very tired, I soon fell asleep.","Étant très fatiguée, je me suis bientôt endormie."
"Being very tired, I soon fell asleep.","Étant très fatiguée, je m'endormis bientôt."
Better to err on the side of caution.,Autant pécher par excès de prudence.
Birds are natural enemies of insects.,Les oiseaux sont les ennemis naturels des insectes.
Both Tom and Mary don't like spinach.,Tom et Mary n'aiment pas les épinards.
Both Tom and Mary have already eaten.,Tom et Mary ont tous deux déjà mangé.
Breakfast is served at eight o'clock.,On sert le petit déjeuner à huit heures.
Bring as many boxes as you can carry.,Prends autant de boîtes que tu peux porter.
Brush your teeth before going to bed.,Lave-toi les dents avant d'aller te coucher !
Bulgarian is very similar to Russian.,Le bulgare est très similaire au russe.
Business expenses are tax-deductible.,Les dépenses d'affaires sont déductibles des impôts.
Butter and cheese are made from milk.,Le beurre et le fromage sont produits avec du lait.
Butter and cheese are made from milk.,Le beurre et le fromage sont faits avec du lait.
Buying a new TV won't make you happy.,Acheter une nouvelle télé ne vous rendra pas heureux.
Buying a new TV won't make you happy.,Acheter une nouvelle télé ne vous rendra pas heureuse.
Buying a new TV won't make you happy.,Acheter une nouvelle télé ne vous rendra pas heureuses.
Buying a new TV won't make you happy.,Acheter une nouvelle télé ne te rendra pas heureux.
Buying a new TV won't make you happy.,Acheter une nouvelle télé ne te rendra pas heureuse.
Buying a new TV won't make you happy.,Faire l'acquisition d'une nouvelle télé ne vous rendra pas heureux.
Buying a new TV won't make you happy.,Faire l'acquisition d'une nouvelle télé ne vous rendra pas heureuse.
Buying a new TV won't make you happy.,Faire l'acquisition d'une nouvelle télé ne vous rendra pas heureuses.
Buying a new TV won't make you happy.,Faire l'acquisition d'une nouvelle télé ne te rendra pas heureux.
Buying a new TV won't make you happy.,Faire l'acquisition d'une nouvelle télé ne te rendra pas heureuse.
By hard work we can achieve anything.,"Si l'on s'en donne la peine, on peut accomplir n'importe quoi."
"By the way, have you seen him lately?","À ce propos, l'as-tu vu dernièrement ?"
Can I borrow this for a little while?,Puis-je emprunter ceci pour un petit moment ?
Can I talk to you alone for a second?,Puis-je vous parler seul à seul une seconde ?
Can I talk to you alone for a second?,Puis-je te parler seul à seul une seconde ?
Can I tell you something about women?,"Puis-je vous dire quelque chose, à propos des femmes ?"
Can I tell you something about women?,"Puis-je te dire quelque chose, à propos des femmes ?"
Can they give you something for that?,Peuvent-ils vous en donner quelque chose ?
Can they give you something for that?,Peuvent-elles vous en donner quelque chose ?
Can they give you something for that?,Peut-on vous en donner quelque chose ?
Can you complete the job in two days?,Peux-tu terminer le travail en deux jours ?
Can you complete the job in two days?,Pouvez-vous terminer le travail en deux jours ?
Can you direct me to the post office?,Pouvez-vous m'indiquer la direction du bureau de poste.
Can you give me a better explanation?,Est-ce que tu peux me donner une meilleure explication ?
Can you give me a better explanation?,Pouvez-vous me donner une meilleure explication ?
Can you play any musical instruments?,Pouvez-vous jouer d'un instrument de musique ?
Can you please help me set the table?,Peux-tu s'il te plaît m'aider à mettre la table ?
Can you please pass me the newspaper?,"Pouvez-vous me passez le journal, je vous prie ?"
Can you please translate this for me?,"Pouvez-vous, s'il vous plaît, traduire ceci pour moi ?"
Can you please translate this for me?,"Peux-tu, s'il te plaît, traduire ceci pour moi ?"
Can you promise me you won't do that?,Peux-tu me promettre que tu ne feras pas ça ?
Can you promise me you won't do that?,Pouvez-vous me promettre que vous ne ferez pas cela ?
Can you put the baby in the car seat?,Peux-tu installer le bébé dans le siège-auto ?
Can you put the baby in the car seat?,Pouvez-vous installer le bébé dans le siège-auto ?
Can you teach me how to ride a horse?,Pouvez-vous m'apprendre à monter à cheval ?
Can you tell me what this word means?,Peux-tu me dire ce que signifie ce mot ?
Can you tell me what this word means?,Pouvez-vous me dire ce que signifie ce mot ?
Can you tell me where I can find Tom?,Pouvez-vous me dire où peut se trouver Tom ?
Can you tell us what happened to you?,Pouvez-vous nous dire ce qui vous est arrivé ?
Can you tell us what happened to you?,Peux-tu nous dire ce qui t'est arrivé ?
Can you validate this parking ticket?,Pouvez-vous composter ce ticket de stationnement ?
Can you will yourself to fall asleep?,Est-ce que tu peux te forcer à dormir ?
Can't you understand it's impossible?,Ne peux-tu pas comprendre que c'est impossible ?
Carrots and turnips are edible roots.,Les carottes et les navets sont des racines comestibles.
Cars arrived there one after another.,Les voitures arrivèrent l'une après l'autre.
Cars arrived there one after another.,Les voitures sont arrivées là-bas les unes après les autres.
"Cats can climb trees, but dogs can't.","Les chats peuvent monter aux arbres, mais pas les chiens."
Children are prohibited from smoking.,Il est interdit que les enfants fument.
Children play in this park every day.,Les enfants jouent dans le parc tous les jours.
Children should drink milk every day.,Les enfants devraient boire du lait tous les jours.
China is the biggest country in Asia.,La Chine est le plus grand pays d'Asie.
China is the largest country in Asia.,La Chine est le plus grand pays d'Asie.
Classical music is not my cup of tea.,La musique classique n'est pas ma tasse de thé.
Close the window before going to bed.,Fermez la fenêtre avant d'aller vous coucher.
Close the window before going to bed.,"Ferme la fenêtre, avant d'aller au lit !"
Coffee will be served after the meal.,Le café sera servi après le repas.
"Coffee, please, with cream and sugar.","Du café lait et sucre, s'il vous plaît !"
"Coffee, please, with cream and sugar.",Un café avec du sucre et de la crème s'il vous plait.
Come on in and make yourself at home.,Entre et fais comme chez toi.
Come on in and make yourself at home.,Entrez et faites comme chez vous.
This job involves lots of hard work.,Cet emploi implique beaucoup de travail difficile.
This law is applicable to all cases.,Cette loi est applicable dans chaque cas.
This law only applies to foreigners.,Cette loi ne s'applique qu'aux étrangers.
This magazine comes out every month.,Cette revue paraît chaque mois.
This magazine comes out every month.,Ce magazine paraît tous les mois.
This may just come in handy someday.,Cela peut se révéler bien utile un de ces jours.
This medicine is good for headaches.,Ce médicament combat les maux de tête.
This mountain is difficult to climb.,Cette montagne est difficile à escalader.
This movie is politically incorrect.,Ce film est politiquement incorrect.
This movie is suitable for children.,Ce film convient aux enfants.
This painting has already been sold.,Ce tableau a déjà été vendu.
This pen is very easy to write with.,Ce stylo facilite beaucoup l'écriture.
This poor cat almost died of hunger.,Ce pauvre chat est presque mort de faim.
This poor cat almost died of hunger.,Cette pauvre chatte est presque morte de faim.
This river flows south into the sea.,Ce fleuve se jette dans la mer vers le sud.
This room doesn't get much sunshine.,Cette pièce ne reçoit pas beaucoup de soleil.
This should only take about an hour.,Ça ne devrait prendre qu'une heure à peu près.
This should solve all your problems.,Ceci devrait résoudre tous tes problèmes.
This should solve all your problems.,Ceci devrait résoudre tous vos problèmes.
This show is too racy for teenagers.,Ce spectacle est trop osé pour des adolescents.
This story is based on a true story.,Cette histoire est basée sur une histoire vraie.
This symphony is a real masterpiece.,Cette symphonie est vraiment un chef-d’œuvre.
This test doesn't have a time limit.,Cet examen n'a pas de limite de temps.
This theory consists of three parts.,Cette théorie se compose de trois parties.
This ticket is valid for three days.,Ce ticket est valable trois jours.
This ticket is valid for three days.,Ce billet est valable pendant trois jours.
This train is made up of seven cars.,Ce train est composé de sept wagons.
This train is made up of seven cars.,Ce train se compose de sept voitures.
This typewriter has been used a lot.,Cette machine à écrire a beaucoup été utilisée.
This watch cost me ten thousand yen.,Cette montre m'a coûté dix mille yen.
This watch was given me by my uncle.,Cette montre m'a été donnée par mon oncle.
This will save you a lot of trouble.,Ceci vous évitera beaucoup de problèmes.
This word is both a noun and a verb.,Ce mot est un nom et un verbe à la fois.
This year is going to be prosperous.,Cette année va être prospère.
Those are my grandmother's dentures.,Ce sont les dentiers de ma grand-mère.
Three of the hostages were beheaded.,Trois des otages ont été décapités.
