Go on.,Poursuis.
Never make the mistake of arguing with people for whose opinions you have no respect.,Ne commettez jamais l'erreur de débattre avec des gens dont vous n'avez pas de respect pour les opinions.
One problem translators face is that sometimes the source document is poorly written.,Un problème que les traducteurs rencontrent est que parfois le document original est mal écrit.
Our fire alarm sometimes goes off when my mother is cooking something in the kitchen.,Notre alarme incendie se déclenche parfois lorsque ma mère prépare quelque chose dans la cuisine.
Our whole case hinges on whether the government's actions were constitutional or not.,Toute notre affaire dépend de si les actions du gouvernement étaient constitutionnelles ou pas.
Our whole case hinges on whether the government's actions were constitutional or not.,Toutes nos affaires dépendent de la constitutionnalité ou non des actions du gouvernement.
She spends a pretty good chunk of time just sitting there and looking out the window.,Elle passe un bon bout de temps juste assise là à regarder par la fenêtre.
"She was able to be ready early this morning, because she finished packing last night.","Elle a été en mesure d'être prête tôt, ce matin, parce qu'elle a terminé de faire ses bagages hier soir."
Some healthcare workers spend more time doing paperwork than taking care of patients.,Certains employés de santé passent davantage de temps à faire de la paperasse qu'à prendre soin de patients.
The antiques my father left when he died turned out to be nothing but worthless junk.,Les choses anciennes que mon père a laissées quand il est mort se révélèrent n'être qu'un bric-à-brac sans valeur.
The boss outlined a three-pronged approach to turn the fortune of the company around.,Le patron a exposé les grandes lignes d'une approche en trois parties pour inverser le sort de l'entreprise.
"The company, although with some exceptions, usually utilizes its resources very well.","L'entreprise, à quelques exceptions près, emploie habituellement ses moyens à bon escient."
The introduction of foreign plants and animals can cause severe damage to ecosystems.,L'introduction de plantes et animaux étrangers peut causer des dommages sévères aux écosystèmes.
"The less there is to justify a traditional custom, the harder it is to get rid of it.","Moins une coutume traditionnelle est justifiée, plus il est difficile de s'en débarrasser."
The loneliness and drabness of working away from people are fatal to his best effort.,La solitude et la monotonie du travail à l'écart des gens sont fatals à son meilleur effort.
There are two kinds of work in the world--head work and hand work; mental and manual.,Il y a deux sortes de travail dans le monde : celui de la tête et celui des mains ; intellectuel et manuel.
This movement from rural to urban areas has been going on for over two hundred years.,Ce mouvement des zones rurales vers les zones urbaines s'est poursuivi sur plus de deux-cents ans.
"Unless we find some way to drum up more business, bankruptcy will be our only option.","À moins que nous trouvions un moyen de réveiller les affaires, la liquidation sera notre seule option."
You should make sure that you have enough money in your pocket to pay for the ticket.,Tu devrais t'assurer que tu as assez d'argent en poche pour payer le billet.
"All happy families resemble each other, each unhappy family is unhappy in its own way.","Toutes les familles heureuses se ressemblent, mais les familles malheureuses le sont chacune à leur manière."
"American politics are interesting to watch, especially during a presidential election.","La politique étasunienne est intéressante à regarder, particulièrement durant une élection présidentielle."
"Democracy is the worst form of government, except all the others that have been tried.","La démocratie est la pire forme de gouvernement, mis à part toutes les autres que l'on a essayées."
Don't you want to put in another disc? We've been listening to this one for two hours.,Tu ne veux pas mettre un autre disque ? On écoute celui-là depuis deux heures.
Every person has a psychological need to feel that what he does is of some importance.,Toute personne a un besoin psychologique de sentir que ce qu'elle fait a une quelconque importance.
Global climatic changes may have been responsible for the extinction of the dinosaurs.,Un changement climatique global pourrait avoir été responsable de l'extinction des dinosaures.
Hundreds of people marry each year who have known each other only a few days or weeks.,Des centaines de gens se marient qui ne se sont connus l'un l'autre que quelques jours ou quelques semaines.
"I can go months without an alcoholic drink, but not even one hour without a cigarette.","Je peux passer des mois sans boire d'alcool, mais pas même une heure sans cigarette."
"I don't need to sound like a native speaker, I just want to be able to speak fluently.","Je n'ai pas besoin de parler comme un locuteur natif, je veux juste être en mesure de parler couramment."
I don't think that there is any better way to learn English than by living in America.,Je ne pense pas qu'il y ait de meilleure méthode pour apprendre l'anglais que de vivre aux États-Unis.
I don't understand and I'm not used to not understanding. Please explain it once more.,"Je ne comprends pas et je ne suis pas habitué à ne pas comprendre. Veuillez l'expliquer à nouveau, je vous prie."
I don't understand and I'm not used to not understanding. Please explain it once more.,"Je ne comprends pas et je ne suis pas habitué à ne pas comprendre. Merci de l'expliquer à nouveau, je te prie."
I don't understand and I'm not used to not understanding. Please explain it once more.,"Je ne comprends pas et je ne suis pas habitué à ne pas comprendre. Explique-le à nouveau, s'il te plait."
"I guess this is how things are going to be from now on, so we'd better get used to it.","J'imagine que c'est comme ça que les choses vont se passer à partir de maintenant, donc on ferait mieux de s'y habituer."
"I guess what I've said isn't all that clear, but that's the only way I can explain it.","J'imagine que ce que j'ai dit n'est pas si clair que ça, mais c'est la seule façon dont je peux l'expliquer."
"I guess what I've said isn't all that clear, but that's the only way I can explain it.","Je devine que ce que j'ai dit n'est pas très clair, mais c'est la seule façon que j'ai de l'expliquer."
I promise that I'll pay you back the money that I owe you before the end of the month.,Je promets que je te rembourserai l'argent que je te dois avant la fin du mois.
I promise that I'll pay you back the money that I owe you before the end of the month.,Je te promets que je te rembourserai l'argent que je te dois avant la fin du mois.
"I'm glad you told me about the meeting. If you hadn't, I wouldn't have known about it.","Je suis content que tu m'aies parlé de la réunion. Si tu ne l'avais pas fait, je n'aurais pas été au courant."
It seems that the policeman in this TV series is a dirty cop who abuses his authority.,Il semble que le flic de cette série télé soit un ripou qui abuse de son autorité.
It's recommended that you don't write your passwords down where others might see them.,Il est recommandé de ne pas écrire ses mots de passe là où d'autres pourraient les voir.
"It's very difficult to find a black cat in a dark room, especially if there is no cat.","Il est très difficile de trouver un chat noir dans une pièce sombre, surtout s'il n'y a pas de chat."
"Many, if not most, professional translators only translate into their native language.","Beaucoup, sinon la plupart des traducteurs professionnels traduisent seulement vers leur langue natale."
No news is good news. If you haven't heard from your son it's because he's doing well.,"Pas de nouvelle, bonne nouvelle. Si tu n'as pas de nouvelle de ton fils, c'est qu'il va bien."
"Now for my next number, I'd like to play a song for you that I learned from my father.","Alors, pour ma suivante, j'aimerais vous interpréter une chanson que j'ai apprise de mon père."
Opponents say genetically engineered crops can cross-pollinate and damage other crops.,Les opposants déclarent que les cultures génétiquement modifiées peuvent polliniser de manière croisée et endommager les autres cultures.
Plan for the future because that's where you are going to spend the rest of your life.,"Aménagez votre avenir, car c'est là que vous allez passer le reste de votre vie."
She asked him to give her some money so she could go to a restaurant with her friends.,Elle lui demanda de lui donner de l'argent pour pouvoir aller au restaurant avec ses amis.
She asked him to give her some money so she could go to a restaurant with her friends.,Elle lui a demandé de lui donner de l'argent pour pouvoir aller au restaurant avec ses amis.
"Sooner or later, someone is going to have to tell Tom that he needs to behave himself.","Tôt ou tard, quelqu'un devra dire à Tom qu'il doit se comporter correctement."
Thank you very much for lending me $500 when I was having difficulty making ends meet.,Merci vraiment de m'avoir prêté 500 dollars quand j'avais des difficultés à joindre les deux bouts.
The best way to learn a foreign language is to go live in a country where it's spoken.,La meilleure façon d'apprendre une langue étrangère est d'aller vivre dans un pays où elle est parlée.
The company provides health care and life insurance benefits for all of its employees.,L'entreprise offre des allocations de soins et assurance-vie à tous ses employés.
The discovery of a new food does more for the human race than the discovery of a star.,La découverte d'un mets nouveau fait plus pour le bonheur du genre humain que la découverte d'une étoile.
The girl had grown up without any money and when she married she became a spendthrift.,"Cette fille a grandi sans argent, et une fois mariée, elle est devenue très dépensière."
The hardest thing in life is knowing which bridges to cross and which bridges to burn.,La chose la plus difficile dans la vie est de savoir quels ponts traverser et lesquels brûler.
The research director had the department do a thorough job in testing the new product.,Le directeur de la recherche fit faire au département un travail complet de test du nouveau produit.
There's a chance that tap water may contain harmful substances like chlorine and lead.,Il y a un risque que l'eau du robinet puisse contenir des substances nocives comme du chlore et du plomb.
Tom was a very good banjo player before he had to have three of his fingers amputated.,Tom était un très bon joueur de banjo avant de devoir se faire amputer trois de ses doigts.
"When a native speaker tries to help me sound more like a native speaker, I'm thankful.","Lorsqu'un locuteur natif essaie de m'aider à parler davantage comme un natif, je lui en suis reconnaissant."
"When it comes to my supervisor, he's very inconsistent, so we never get any work done.","Quant à mon superviseur, il est très incohérent, du coup le travail n'est jamais fait."
"Whenever I go to a Japanese restaurant, I take the disposable chopsticks home with me.","À chaque fois que je vais au restaurant Japonais, j'emporte les baguettes chez moi."
Why don't we just reformat the hard disk? You've been having a lot of trouble with it.,Pourquoi ne pas ré-initialiser le disque dur ? Tu as eu plein de problèmes avec.
You could search the world over and never find another woman more beautiful than Mary.,"Tu pourrais chercher dans le monde entier, jamais tu ne trouveras une femme plus belle que Marie."
"According to a recent study, the average life span of the Japanese is still increasing.","Selon une étude récente, la durée de vie moyenne des Japonais est en constante augmentation."
"According to this magazine, my favorite actress will marry a jazz musician next spring.","Selon ce magazine, mon actrice favorite épousera un musicien de jazz au printemps prochain."
"Before it gets out in the media, I'd like to announce to all my fans that I'm pregnant.","Avant que cela n'apparaisse dans les médias, j'aimerais annoncer à tous mes fans que je suis enceinte."
Corporate borrowing from financial institutions is rising due to the low interest rate.,Les emprunts aux institutions financières par les entreprises sont en augmentation du fait du faible taux d'intérêt.
Governments usually resort to price control when inflation has reached a certain level.,Les gouvernements ont d'ordinaire recours au contrôle des prix lorsque l'inflation a atteint un certain niveau.
"He can't tell a cherry tree from a plum tree, but he can name them in twelve languages.",Il ne peut pas distinguer un cerisier d'un prunier mais il peut les nommer dans douze langues différentes.
He does not care for any sport involving team work or quick responses to other players.,Il n'a pas d'intérêt pour quelque sport impliquant un travail d'équipe ou des réponses rapides à d'autres joueurs.
"He was making a speech, but he abruptly stopped speaking when he heard a strange noise.","Il prononçait un discours, mais il s'arrêta brusquement de parler lorsqu'il entendit un bruit étrange."
I don't think I'll ever sound like a native speaker and I don't really think I need to.,Je ne pense pas que je m'exprimerai jamais comme un locuteur natif et je ne pense pas vraiment que j'en ai besoin.
I don't think I've ever done anything that would cause my parents to want to punish me.,Je ne pense pas avoir jamais fait quoi que ce soit qui aurait fait que mes parents veuillent me punir.
I have a brother and a sister. My brother lives in Tokyo and my sister lives in Nagano.,J'ai un frère et une sœur. Mon frère vit à Tokyo et ma sœur vit à Nagano.
I never for a moment imagined that I would still be doing this kind of thing at my age.,Je n'ai jamais imaginé un seul instant que je serais encore en train de faire ce genre de chose à mon âge.
I never for a moment imagined that I would still be doing this kind of thing at my age.,Je n'ai jamais imaginé un seul instant que je serais toujours en train de faire ce genre de chose à mon âge.
I talked to your doctor. He told me that you needed to stay in bed for at least a week.,J'ai parlé à votre docteur. Il m'a dit que vous aviez besoin de rester au lit au moins une semaine.
I talked to your doctor. He told me that you needed to stay in bed for at least a week.,J'ai parlé à ton docteur. Il m'a dit que tu avais besoin de rester au lit pendant au moins une semaine.
I think it's highly unlikely that we'll ever get any help from the national government.,Je pense qu'il est hautement improbable que nous obtenions jamais la moindre aide du gouvernement national.
I would like to drastically decrease the amount of time it takes me to clean the house.,J'aimerais diminuer de manière drastique la somme de temps que ça me prend de nettoyer la maison.
"If there is nothing near them that needs doing, they are sure to go and find something.","S'il n'y a rien à leur proximité qui doive être fait, il est garanti qu'ils s'en vont trouver quelque chose."
"If we don't have a solution, the least we can do is acknowledge that there's a problem.","Si nous n'avons pas de solution, le moins que l'on puisse faire c'est de reconnaître qu'il y a un problème."
"In Japan, we still sometimes see someone use an abacus, but not as often as we used to.","Au Japon, on voit toujours parfois quelqu'un utiliser un boulier, mais pas aussi souvent que nous en avions l'habitude."
"Last night, we heard sounds of gunshots and screaming on the street outside our window.","La nuit dernière, nous avons entendu des bruits de coups de feu et des cris dans la rue par notre fenêtre."
Nothing is as difficult as coming up with a simple explanation for something difficult.,Rien n'est plus difficile que de trouver une explication simple à quelque chose de compliqué.
People who are afraid of making mistakes will make no progress in English conversation.,Les gens qui ont peur de se tromper ne feront aucun progrès en conversation anglaise.
The eating of delicious food is one of the most intense and poignant pleasures of life.,La consommation de nourriture délicieuse est l'un des plaisirs de la vie les plus intenses et poignants.
"The first time you meet people, you should be careful about how near you stand to them.","La première fois que vous rencontrez une personne, vous devriez être attentif à la proximité avec laquelle vous vous tenez par rapport à elle."
"The first time you meet people, you should be careful about how near you stand to them.","La première fois que tu rencontres une personne, tu devrais être attentif à la proximité avec laquelle tu te tiens par rapport à elle."
"The first time you meet people, you should be careful about how near you stand to them.","La première fois que tu rencontres une personne, tu devrais être attentive à la proximité avec laquelle tu te tiens par rapport à elle."
"The first time you meet people, you should be careful about how near you stand to them.","La première fois que vous rencontrez une personne, vous devriez être attentive à la proximité avec laquelle vous vous tenez par rapport à elle."
"The first time you meet people, you should be careful about how near you stand to them.","La première fois que vous rencontrez une personne, vous devriez être attentifs à la proximité avec laquelle vous vous tenez par rapport à elle."
"The first time you meet people, you should be careful about how near you stand to them.","La première fois que vous rencontrez une personne, vous devriez être attentives à la proximité avec laquelle vous vous tenez par rapport à elle."
"To become a professional banjo player, you need to spend thousands of hours practicing.","Pour devenir un joueur professionnel de banjo, il faut passer des milliers d'heures à pratiquer."
Tom put his ear to the door in an effort to overhear what Mary was saying on the phone.,Tom mit son oreille contre la porte afin d'entendre ce que Marie disait au téléphone.
Tom was charged with drunken driving after he was involved in a car accident in Boston.,Tom a été accusé de conduite en état d'ébriété après avoir été impliqué dans un accident de voiture à Boston.
Tom's the kind of person who calls a spade a spade and a lot of people don't like that.,Tom est le genre de personne qui dit les choses comme elles sont et beaucoup de gens n'aiment pas ça.
Who am I? Where do I come from? Is there life after death? What is the meaning of life?,Qui suis-je ? D'où viens-je ? Y a-t-il une vie après la mort ? Quel est le sens de la vie ?
Would you mind leaving the room for a few minutes so I can ask your son some questions?,Vous voulez bien quitter la pièce pendant quelques minutes afin que je puisse poser quelques questions à votre fils ?
Amnesty International often organizes public protests in support of political prisoners.,Amnistie internationale organise souvent des manifestations en soutien aux prisonniers politiques.
"Before we get started, I'd just like to say a few words about how important this job is.","Avant de commencer, j'aimerais juste dire quelques mots sur l'importance de ce travail."
"Eat a live frog every morning, and nothing worse will happen to you the rest of the day.","Mangez une grenouille vivante chaque matin, et rien de pire ne vous arrivera le reste de la journée."
"I don't know exactly where I left my keys, but I think they're on the dining room table.","Je ne sais pas exactement où j'ai laissé mes clés, mais je pense qu'elles sont sur la table de la salle à manger."
I had to change clothes because what I was wearing wasn't appropriate for the situation.,J'ai dû changer de vêtements parce que ce que je portais ne convenait pas à la situation.
I haven't eaten anything unusual since I've returned home from my trip around the world.,Je n'ai rien mangé d'inhabituel depuis que je suis revenu de mon voyage autour du monde.
"I hope all but one of your dreams come true, so you always have something to strive for.","Je vous souhaite que tous vos rêves se réalisent sauf un, de sorte que vous ayez toujours un but à poursuivre."
"I said all along that he was not a person to be trusted, but you would not listen to me.","J'ai dit depuis le début qu'il n'était pas une personne digne de confiance, mais tu ne voulais rien entendre."
I saw many people who had no clothes and I saw many clothes which had no people in them.,J'ai vu beaucoup de personnes qui ne portaient pas d'habits sur eux et j'ai vu beaucoup d'habits qui n'étaient portés par personne.
"I used to think that only bears hibernate, but the teacher said that turtles do as well.","Je pensais que seuls les ours hibernaient, mais l'institutrice a dit que les tortues le font aussi."
"If everyone shouts at once, we won't be able to hear what the Prime Minister has to say.","Si tout le monde crie en même temps, nous ne pourrons pas entendre ce que le Premier Ministre a à dire."
"It hurt so much I could have screamed, but I gritted my teeth and bravely bore the pain.","C'était si douloureux que j'aurais pu hurler, mais j'ai serré les dents et courageusement supporter la douleur."
Japanese women marry at 26 on average. It is no mystery that the birthrate is declining.,Les femmes japonaises se marient en moyenne à 26 ans. Le déclin du taux de natalité n'est pas mystérieux.
"Laughter is like a windshield wiper. It can't stop the rain, but it lets you move ahead.","Le rire, c'est comme un essuie-glace. Il n'arrête pas la pluie, mais il permet d'avancer."
The Catholic Bible contains everything in the Protestant Bible plus several other books.,La Bible catholique contient tout de la Bible protestante additionné de plusieurs autres livres.
The U.S. Secretary of State is trying to broker a ceasefire between the warring parties.,Le Secrétaire d'État étasunien tente de négocier un cessez-le-feu entre les factions en guerre.
The identity of the boy who had been missing was verified by the clothes he was wearing.,L'identité du garçon qui avait disparu a été vérifiée grâce aux vêtements qu'il portait.
These three hours of driving have worn me out. Let's stop at the first rest area we see.,Ces trois heures au volant m'ont éreinté. Arrêtons-nous à la première aire de repos que nous verrons.
Tom got out of the bathtub and dried himself with the new towel that Mary had given him.,Tom sortit de la baignoire et se sécha avec la nouvelle serviette que Marie lui avait donnée.
"Tom shaved off his beard and dyed his hair blonde, hoping people wouldn't recognize him.",Tom s'est rasé la barbe et teint les cheveux en blond en espérant que les gens ne le reconnaîtraient pas.
What surprised me most about that accident is how fast the lawyers arrived on the scene.,"Ce qui m'a le plus surpris dans cet accident, c'est la rapidité avec laquelle les avocats sont arrivés sur place."
"When I study a foreign language, I like to study with a native speaker of that language.","Quand j'étudie une langue étrangère, j'aime étudier avec un locuteur natif de cette langue."
"You may not be in the mood to hear this now, but I need to tell you something important.","Peut-être n'es-tu pas d'humeur à entendre ça maintenant, mais je dois de dire quelque chose d'important."
You only really need to sound exactly like a native speaker if you want to become a spy.,On a vraiment besoin de parler exactement comme un natif que lorsque l'on veut devenir un espion.
"You're not as beautiful as my ex-girlfriend, but you're a lot more fun to hang out with.","Tu n'es pas aussi belle que mon ex-copine, mais sortir avec toi est bien plus amusant."
Almost the only time a fat man loses his temper is when he has been deprived of his food.,Presque la seule fois où un gros homme perd son sang-froid est lorsqu'on le prive de sa nourriture.
An anonymous benefactor bequeathed several hundred thousand dollars to an animal shelter.,Un bienfaiteur anonyme a fait don de plusieurs centaines de milliers de dollars à un refuge animalier.
"Because of modern communication and transportation systems, the world is getting smaller.","Grâce aux moyens de communication modernes et aux systèmes de transports, le monde a rétréci."
He has a reputation as being straight as an arrow. He'd never get involved in corruption.,Il a la réputation d'être intègre. Il ne serait jamais impliqué dans de la corruption.
I don't want to go anywhere today. It's cold outside and I have to get up early tomorrow.,Je veux aller nulle part aujourd'hui. Il fait froid dehors et je dois me lever tôt demain.
I got together with her mainly because we seemed to share the same feelings about things.,Je me suis mis avec elle principalement pour la raison qu'on semblait partager les mêmes sentiments sur la vie.
I shoot the rabbits in my garden with a squirt gun to keep them away from the vegetables.,Je tire sur les lapins dans mon jardin avec un pistolet à eau pour les tenir éloignés de mes légumes.
I'm getting little pimples on my face. I wonder if I've been getting enough sleep lately.,J'attrape des petits boutons sur le visage. Je me demande si je dors suffisamment ces temps-ci.
"If farmers don't make a decent living growing peanuts, they will try growing other crops.","Si les paysans ne retirent pas un revenu décent de la culture des cacahuètes, ils essayeront d'autres cultures."
"If the university doesn't have enough students, the administration will cancel the class.","Si l'université ne dispose pas de suffisamment d'étudiants, l'administration annulera le cours."
It's very unlikely that a serious art collector would ever buy anything from that source.,Il est très improbable qu'un collectionneur d'art achète jamais quoi que ce soit de cette origine.
"Louis Braille, who was blind from the age of three, invented a way for the blind to read.","Louis Braille, aveugle depuis l'âge de trois ans, inventa un moyen de lire pour les aveugles."
"People say that I dream every night, but if I do, I can't ever remember any of my dreams.","Les gens disent que je rêve toutes les nuits mais si je le fais, je n'arrive jamais à me rappeler aucun de mes rêves."
Please don't make me laugh. I did too many sit-ups yesterday and my stomach muscles hurt.,S'il te plait ne me fais pas rire. J'ai fait trop d'abdominaux hier et mes muscles ventraux me font mal.
"Since I have no children, I have more time to spend doing volunteer work than parents do.","Comme je n'ai pas d'enfants, je dispose de davantage de temps que les parents à consacrer à des travaux volontaires."
"That man asked me who I was, but I didn't think it was necessary to answer that question.","Cet homme m'a demandé qui j'étais, mais je n'ai pas pensé nécessaire de répondre à cette question."
"The flour was past its use-by date, so the cake only rose half as much as it should have.",La farine était périmée donc le gâteau n'a gonflé que de la moitié de ce qu'il aurait dû.
The government will provide interest-free loans to firms that participate in the program.,Le gouvernement allouera des prêts sans intérêts aux sociétés qui participent au programme.
The poor acoustics in the hall severely affected the audience's enjoyment of the concert.,La médiocre acoustique de la salle a sérieusement affecté le plaisir que le public a retiré du concert.
"They say that in America anyone can become president, but perhaps that's not really true.","On dit qu'aux États-Unis d'Amérique, n'importe qui peut devenir Président, mais ce n'est peut-être pas réellement vrai."
Tom certainly had a point when he said we should allow more time to complete the project.,Tom avait certainement un but quand il a dit que nous devrions permettre plus de temps pour compléter le projet.
Tom killed Mary because he found out she had started the fire that had killed his family.,Tom tua Mary parce qu'il a découvert qu'elle était à l'origine du feu qui ravagea sa famille.
Tom killed Mary because he found out she had started the fire that had killed his family.,Tom tua Mary parce qu'il a découvert qu'elle était à l'origine du feu qui tua sa famille.
Tom killed Mary because he found out she had started the fire that had killed his family.,Tom a tué Mary parce qu'il a découvert qu'elle était à l'origine de l'incendie qui a tué sa famille.
"When I got my driver's license renewed, I had to decide if I wanted to be an organ donor.","Quand j'ai fait renouvelé mon permis de conduire, j'ai dû décider si je voulais être donneur d'organe."
"Everything accomplished starts with the dream of it, is a saying we all know to be true.",« Tout ce qui est accompli commence par sa projection » est un dicton dont nous connaissons tous la vérité.
"Why have you started learning to play the piano? ""Because I want to be a music teacher.""",« Pourquoi avez-vous commencé à apprendre le piano ? » « Parce que je veux devenir professeur de musique. »
A brewery we finance has made a new sweet sake and brought some to us asking us to try it.,"Une brasserie que nous finançons a préparé un nouveau saké sucré, et nous en a apporté pour nous demander de l'essayer."
"Although most islands in the ocean have been mapped, the ocean floor is generally unknown.","Bien que la plupart des îles de l'océan aient été cartographiées, les fonds océaniques sont généralement inconnus."
Bodybuilding is his hobby so he has a very firm tight body with lots of muscle definition.,La musculation est son passe-temps c'est pourquoi il a un corps très ferme avec des muscles bien découpés.
"Drinking lots of water is good for you, sure, but one can't drink that much water at once.","Boire beaucoup d'eau est bon pour toi, c'est sûr, mais on ne peut pas boire autant d'eau d'un coup."
"He promised to bring new industries to the region, but politicians rarely keep their word.","Il a promis d'apporter de nouvelles industries à la région, mais les politiciens tiennent rarement leur parole."
I always thought that a stroke was one of nature's ways to tell you that it's time to die.,J'ai toujours pensé qu'un infarctus était la manière dont la nature t'indique qu'il est temps de mourir.
"I am staying with my uncle for the time being, but later I will move to a small apartment.","Je réside avec mon oncle pour le moment, mais plus tard j'emménagerai dans un petit appartement."
I began driving our tractor when I was 12 years old to help my father out at harvest time.,Je conduisais notre tracteur dès l'âge de 12 ans pour aider mon père pendant la moisson.
"I don't know how to play the clarinet very well, but I'm pretty good at playing the flute.","Je ne sais pas très bien jouer de la clarinette, mais je joue assez bien de la flûte."
"I don't know what went on last night, but they're not speaking to each other this morning.","Je ne sais pas ce qui s'est passé hier soir, mais ils ne s'adressent pas la parole ce matin."
I have just received a letter from a friend saying that she is coming to see me next week.,Je viens de recevoir une lettre d'une amie disant qu'elle vient me voir la semaine prochaine.
"I know some of you want to go back to the way things were, but that's not going to happen.",Je sais que certains d'entre vous veulent revenir aux choses telles qu'elles étaient mais ça ne va pas se produire.
"I know some of you want to go back to the way things were, but that's not going to happen.",Je sais que certaines d'entre vous veulent revenir aux choses telles qu'elles étaient mais ça ne va pas se produire.
"I know some of you want to go back to the way things were, but that's not going to happen.",Je sais que certains d'entre vous veulent revenir aux choses telles qu'elles étaient mais ça ne va pas arriver.
"I know some of you want to go back to the way things were, but that's not going to happen.",Je sais que certaines d'entre vous veulent revenir aux choses telles qu'elles étaient mais ça ne va pas arriver.
I'm a non-native speaker of English and realize there is a lot that I still need to learn.,Je suis un locuteur non-natif de l'anglais et je prends conscience que j'ai encore beaucoup à apprendre.
"If Cleopatra's nose had been shorter, the whole face of the world would have been changed.","Le nez de Cléopâtre, s'il eût été plus court, toute la face de la terre aurait changé."
"If I don't go to the supermarket, I won't be able to prepare anything to eat this evening.","Si je ne vais pas au supermarché, je ne pourrais pas préparer quoi que ce soit à manger ce soir."
"If I had eight hours to chop down a tree, I'd spend the first six hours sharpening the ax.","Si j'avais huit heures pour couper un arbre, je passerais les six premières heures à aiguiser la hache."
"Most of the time, he doesn't get to sleep before two or even three o'clock in the morning.","La plupart du temps, il ne s'endort pas avant deux voire trois heures du matin."
One out of 455 women doesn't realize she's pregnant until the twentieth week of pregnancy.,Un femme sur quatre-cent-cinquante-cinq ne prend pas conscience qu'elle est enceinte avant la vingtième semaine de grossesse.
She took advantage of our hospitality and stayed a whole month without paying us anything.,Elle profita de notre hospitalité et resta un mois entier sans rien nous payer.
"Sorry, but it all came about so suddenly that I haven't got a handle on the situation yet.","Désolé, mais tout cela s'est produit si soudainement que je n'ai pas encore pu me charger de la situation."
The cat is sitting on the chair and looking at the meat that's lying on the kitchen table.,Le chat est assis sur la chaise et regarde la viande posée sur la table de la cuisine.
The man who is constantly making decisions and being compelled to alter them gets nowhere.,L'homme qui prend constamment des décisions et est forcé de les altérer ne va nulle part.
The police told the demonstrators that they'd be arrested if they didn't move immediately.,La police indiqua aux manifestants qu'ils seraient arrêtés s'ils ne bougeaient pas immédiatement.
"To improve your fluency, you should try speaking with native speakers as often as you can.","Pour améliorer votre fluidité, vous devriez essayer de parler avec des locuteurs natifs le plus souvent possible."
To reduce misunderstandings we should learn the techniques for communicating successfully.,"Afin de diminuer les incompréhensions, nous devons apprendre les techniques pour communiquer avec succès."
"Tom doesn't like Mary. However, she doesn't particularly care whether he likes her or not.","Tom n'aime pas Mary. Cependant, elle ne se soucie pas particulièrement de savoir si il l'aime ou non."
Tom has enough money to buy any computer in this store. He just needs to decide which one.,Tom a assez d'argent pour acheter n'importe quel ordinateur de ce magasin. Il a seulement besoin de décider lequel.
Tom stole Mary's phone and took a bunch of selfies before sneaking it back into her purse.,Tom vola le téléphone de Mary et prit une série de selfies avant de le remettre discrètement dans son sac à main.
Tom stole Mary's phone and took a bunch of selfies before sneaking it back into her purse.,Tom a volé le téléphone de Marie et a pris un tas de selfies avant de le remettre en douce dans son sac à main.
"We've considered your proposal, and we've decided that we aren't able to reduce the price.",Nous avons pris votre proposition en considération et nous avons décidé que nous ne sommes pas en mesure de réduire le prix.
"When Tom was a kid, he became obsessed with the girl who lived across the street from him.","Lorsque Tom était gosse, il est devenu obsédé par la jeune fille qui habitait en face de chez lui."
You're the only person I know besides me who is actually interested in this kind of thing.,Vous êtes la seule personne que je connaisse à part moi qui soit réellement intéressée par ce genre de truc.
You're the only person I know who doesn't take some kind of medicine at least once a week.,Tu es la seule personne que je connaisse qui ne prend pas un médicament ou un autre au moins une fois par semaine.
"Do you know where this camera was made? ""I think it was made in China, but I'm not sure.""","« Savez-vous où cette caméra a été fabriquée ? » « Je pense qu'elle a été fabriquée en Chine, mais je n'en suis pas sûr. »"
A study found that almost 10% of men were obese in 2008. That was up from about 5% in 1980.,Une étude a montré que presque dix pour cent des hommes étaient obèses en deux-mille-huit. C'était en augmentation en partant d'environ cinq pour cent en mille-neuf-cent-quatre-vingt.
All of your accusations are without foundation. She's innocent and we're going to prove it.,"Toutes vos accusations sont sans fondement, elle est innocente et nous le prouverons !"
"As a rule, I prefer people who deal with matters of this kind directly with those involved.","En règle générale, je préfère les gens qui traitent ce genre de choses directement avec les personnes concernées."
"At the party, one of his political opponents humiliated him in the presence of many guests.","À la fête, un de ses opposants politiques l'a humilié en présence de nombreux invités."
Don't come to me now with that. You should have said something when it originally happened.,Ne viens pas me voir maintenant pour ça. Tu aurais dû en parler dès que c'est arrivé.
"Good friends are like stars. You don't always see them, but you know they are always there.","Les bons amis sont comme les étoiles : on ne les voit pas toujours, mais on sait qu'ils sont toujours là."
He is likely to have a book and a cracker at his meals--and then forget to eat the cracker!,Il a des chances d'avoir un livre et un biscuit pour ses repas...et puis d'oublier de manger le biscuit !
"I like this picture, not just because it is famous, but because it really is a masterpiece.","J'aime ce tableau, pas seulement pour sa renommée, mais parce que c'est vraiment un chef-d'œuvre."
I suggest you have a native speaker read over your report to make sure there are no errors.,"Je suggère que tu fasses relire ton rapport par un natif, pour t'assurer qu'il n'y a pas d'erreurs."
I thought that I could get to the airport on time if I drove a little over the speed limit.,Je pensais que je pourrais me rendre à l'aéroport à temps si je conduisais un peu plus vite que la limite autorisée.
"I'd like to ask you a question, but if this is a bad time, I can come back at another time.","J'aimerais vous poser une question mais si le moment n'est pas propice, je peux revenir à un autre moment."
